degree_name,field,program_description,duration,admission_requirements,institution_name,university,specialty,specialty_code,location,contact_info,bac_type,formula,formula_explanation,historical_scores_2022,historical_scores_2023,historical_scores_2024,minimum_bac_average,additional_requirements,notes,data_source
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,,,رياضيات,FG+A,,,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,,,علوم تجريبية,FG+A,,109.1347,116.507,109.603,109.603,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,,,إقتصاد وتصرف,FG+A,,89.2916,84.6582,88.445,88.445,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بنابل,جامعة قرطاج,اللغة والآداب والحضارة,22101,,,علوم الإعلامية,FG+A,,96.3431,107.2432,107.029,107.029,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,,,آداب,FG+A,,98.554,99.4298,100.238,100.238,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,,,رياضيات,FG+A,,,100.3267,108.289,100.3267,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,,,علوم تجريبية,FG+A,,111.6049,121.7446,101.944,101.944,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,,,إقتصاد وتصرف,FG+A,,94.6101,86.9463,78.853,78.853,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بسوسة,جامعة سوسة,اللغة والآداب والحضارة,30101,,,علوم الإعلامية,FG+A,,,,134.28,134.28,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,,,آداب,FG+A,,90.3748,89.9482,92.435,92.435,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,,,رياضيات,FG+A,,,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,,,علوم تجريبية,FG+A,,100.445,112.775,120.006,120.006,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,,,إقتصاد وتصرف,FG+A,,88.5634,89.455,81.705,81.705,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,كلية الآداب والعلوم الإنسانية بصفاقس,جامعة صفاقس,اللغة والآداب والحضارة,40101,,,علوم الإعلامية,FG+A,,,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,,,آداب,FG+A,,96.3372,92.3033,96.3,96.3,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,,,رياضيات,FG+A,,,180.84,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,,,علوم تجريبية,FG+A,,113.8427,120.3,118.369,113.8427,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,,,إقتصاد وتصرف,FG+A,,86.2491,78.9251,81.943,81.943,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50101,,,علوم الإعلامية,FG+A,,,,,,,,extracted
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,,,آداب,FG+Ang,,92.54,92.205,97.985,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,,,رياضيات,FG+Ang,,116.405,,123.344,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,,,علوم تجريبية,FG+Ang,,118.495,140.8388,144.488,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,,,اقتصاد وتصرف,FG+Ang,,79.2452,86.6686,88.094,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,,,العلوم التقنية,FG+Ang,,123.42,112.9883,129.454,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,,,علوم الإعلامية,FG+Ang,,,110.355,120.115,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للغات بقابس,جامعة قابس,اللغة والآداب والحضارة,50102,,,رياضة,FG+Ang,,94.909,,157.884,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,,,آداب,FG+Ang,,69.8837,73.4884,76.639,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,,,رياضيات,FG+Ang,,118.22,135.47,,,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,,,,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,,,علوم تجريبية,FG+Ang,,116.035,124.8567,124.29,,,,
