ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_institution,table_location,table_criteria,field_of_study,seven_percent,specialty,specialty_code,minimum_bac_average,program_description,duration,admission_requirements,formula_explanation,additional_requirements,notes,contact_info,historical_scores_2011,historical_scores_2012,historical_scores_2013,historical_scores_2014,historical_scores_2015,historical_scores_2016,historical_scores_2017,historical_scores_2018,historical_scores_2019,historical_scores_2020,historical_scores_2021,historical_scores_2022,historical_scores_2023,historical_scores_2024
13101,113101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=113101,1,آداب,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13101,92.613,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0381,92.2465,92.613
13101,213101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=213101,2,رياضيات,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13101,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.205,0.0,0.0
13101,313101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=313101,3,علوم تجريبية,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13101,119.771,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7119,112.8422,119.771
13101,413101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=413101,4,إقتصاد وتصرف,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13101,93.659,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.385,84.9917,93.659
13101,613101,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=613101,6,علوم الإعلامية,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+A,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13101,93.165,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.195,0.0,93.165
13102,113102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=113102,1,آداب,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.135,101.0222,115.346
13102,213102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=213102,2,رياضيات,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.5829,148.3074,151.897
13102,313102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=313102,3,علوم تجريبية,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0157,181.6914,143.599
13102,413102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=413102,4,إقتصاد وتصرف,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.5208,92.9885,111.965
13102,513102,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=513102,5,العلوم التقنية,04,جامعة قرطاج,الإجازة في اللغة والآداب والحضارة,المعهد العالي للغات بتونس,,FG+Ang,الآداب واللغات والمراحل التحضيرية الأدبية,unknown,اللغة والآداب والحضارة,13102,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.86,142.1656,164.577
