degree_name,field,institution_name,university,specialty,specialty_code,bac_type,formula,min_score_2024,min_score_2023,min_score_2022
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60102,رياضة,FG+Ang,165.353,,114.0941
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,آداب,FG+Ang,71.78,70.9115,76.9119
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,رياضيات,FG+Ang,,110.0552,94.3401
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,علوم تجريبية,FG+Ang,120.348,135.7616,105.9798
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,إقتصاد وتصرف,FG+Ang,75.608,79.096,79.8965
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,العلوم التقنية,FG+Ang,106.292,122.2636,114.5201
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,علوم الإعلامية,FG+Ang,88.962,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,كلية الآداب والعلوم الإنسانية بالقيروان,جامعة القيروان,اللغة والآداب والحضارة,70102,رياضة,FG+Ang,148.222,107.7383,82.82
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,آداب,FG+Ang,77.864,73.0135,75.8499
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,رياضيات,FG+Ang,,,108.4385
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,علوم تجريبية,FG+Ang,129.315,116.7049,119.3746
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,إقتصاد وتصرف,FG+Ang,83.473,88.1319,81.3285
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,العلوم التقنية,FG+Ang,110.603,117.9532,106.105
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,علوم الإعلامية,FG+Ang,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54102,رياضة,FG+Ang,,117.5288,88.8116
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,آداب,FG+A,90.84,84.6116,88.9252
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,رياضيات,FG+A,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,علوم تجريبية,FG+A,110.012,,112.9829
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,إقتصاد وتصرف,FG+A,95.765,80.6984,77.5951
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للعلوم الإنسانية بمدنين,جامعة قابس,اللغة والآداب والحضارة,54101,علوم الإعلامية,FG+A,,,88.5036
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,آداب,FG+A,89.112,87.4888,87.1234
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,رياضيات,FG+A,,,
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,علوم تجريبية,FG+A,109.714,100.1072,101.6734
الإجازة في اللغة والآداب والحضارة,الآداب واللغات والمراحل التحضيرية الأدبية,المعهد العالي للدراسات التطبيقية في الانسانيات بقفصة,جامعة قفصة,اللغة والآداب والحضارة,60101,إقتصاد وتصرف,FG+A,85.872,87.0865,86.4719
