ramz_code,ramz_id,ramz_link,bac_type_id,bac_type_name,university_id,university_name,table_specialization,table_university,table_institution,table_location,table_criteria,institution,field_of_study,historical_scores,seven_percent
10139,210139,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210139,2,رياضيات,5,جامعة الزيتونة,الإجازة في العلوم الشرعية,جامعة الزيتونة,المعهد العالي لأصول الدين بتونس,تونس,FG+AR,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 105.64, '2020': 93.2485, '2021': 89.5783, '2022': 96.4233, '2023': 107.425, '2024': 114.535}",no
10622,310622,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310622,3,علوم تجريبية,2,جامعة منوبة,الإجازة في الفنون و الوسائط,جامعة منوبة,المعهد العالي لفنون الملتميديا بمنوبة,تونس,FG+Inf,"العنوان :
الهاتف :",الثقافة والفنون الجميلة والفنون والحرف : الثقافة والفنون الجميلة والفنون والحرف,"{'2011': 99.75, '2012': 98.775, '2013': 99.325, '2014': 97.925, '2015': 103.725, '2016': 106.475, '2017': 102.85, '2018': 98.425, '2019': 123.7937, '2020': 120.1129, '2021': 143.105, '2022': 131.0215, '2023': 127.5868, '2024': 124.0077}",yes
10301,910301,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910301,9,رياضة,3,جامعة تونس المنار,الإجازة في القانون,جامعة تونس المنار,كلية الحقوق والعلوم السياسية بتونس,تونس,FG+(AR+FR)/2,"العنوان :
الهاتف :",العلوم القانونية والعلوم السياسية : العلوم القانونية والعلوم السياسية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 164.122, '2020': 182.1515, '2021': 197.7467, '2022': 85.4366, '2023': 104.5053, '2024': 124.55}",yes
10629,210629,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210629,2,رياضيات,3,جامعة تونس المنار,الإجازة في الإلكترونيك والكهروتقنية والآلية,جامعة تونس المنار,كلية العلوم بتونس,تونس,FG+(M+SP)/2,"العنوان :
الهاتف :",العلوم الصحيحة والتكنولوجيا : العلوم الصحيحة والتكنولوجيا,"{'2011': 124.12, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 117.235, '2020': 115.3942, '2021': 135.8633, '2022': 149.7144, '2023': 157.702, '2024': 106.8343}",yes
10520,210520,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=210520,2,رياضيات,4,جامعة  قرطاج,مرحلة تحضيرية مندمجة: رياضيات- فيزياء و إعلامـيـة,جامعة قرطاج,المعهد الوطني للعلوم التطبيقية والتكنولوجيا بتونس,تونس,FG+(M+SP+Info)/3,"العنوان :
الهاتف :",الهندسة المعمارية والمراحل التحضيرية العلمية : الهندسة المعمارية والمراحل التحضيرية العلمية,"{'2011': 159.175, '2012': 156.775, '2013': 157.25, '2014': 162.45, '2015': 156.9, '2016': 156.4, '2017': 154.05, '2018': 154.05, '2019': 180.5233, '2020': 179.2233, '2021': 190.6833, '2022': 187.58, '2023': 191.7283, '2024': 191.9817}",no
10105,910105,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=910105,9,رياضة,2,جامعة منوبة,الإجازة في الإيطالية,جامعة منوبة,كلية الآداب والفنون والإنسانيات بمنوبة,تونس,FG+IT,"العنوان :
الهاتف :",الآداب واللغات والمراحل التحضيرية الأدبية : الآداب واللغات والمراحل التحضيرية الأدبية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 0.0, '2022': 0.0, '2023': 0.0, '2024': 0.0}",yes
10203,110203,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=110203,1,آداب,4,جامعة  قرطاج,الهندسة المعمارية,جامعة قرطاج,المدرسة الوطنية للهندسة المعمارية و التعمير بتونس,تونس,FG+PH,"العنوان :
الهاتف :",الهندسة المعمارية والمراحل التحضيرية العلمية : الهندسة المعمارية والمراحل التحضيرية العلمية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 128.875, '2020': 140.065, '2021': 155.905, '2022': 162.065, '2023': 161.135, '2024': 155.16}",no
10611,310611,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=310611,3,علوم تجريبية,2,جامعة منوبة,الإجازة في الصحافة,جامعة منوبة,معهد الصحافة وعلوم الإخبار,تونس,FG+(AR+ANG+F+PH)/4,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 124.4, '2020': 116.455, '2021': 125.2475, '2022': 121.225, '2023': 118.8875, '2024': 118.9475}",no
10138,510138,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=510138,5,العلوم التقنية,5,جامعة الزيتونة,الإجازة في العلوم الإسلامية,جامعة الزيتونة,المعهد العالي للحضارة الإسلامية بتونس,تونس,FG+AR,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 93.8551, '2020': 110.8099, '2021': 91.2501, '2022': 95.4955, '2023': 124.06, '2024': 108.3786}",yes
70138,570138,https://guide-orientation.rnu.tn/ar/dynamique/filiere.php?id=570138,5,العلوم التقنية,5,جامعة الزيتونة,الإجازة في العلوم الإسلامية,جامعة الزيتونة,المعهد العالي للعلوم الإسلامية بالقيروان,القيروان,FG+AR,"العنوان :
الهاتف :",العلوم الإنسانية والإجتماعية والدينية والتربية : العلوم الإنسانية والإجتماعية والدينية والتربية,"{'2011': 0.0, '2012': 0.0, '2013': 0.0, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0, '2018': 0.0, '2019': 0.0, '2020': 0.0, '2021': 111.3656, '2022': 107.1143, '2023': 114.795, '2024': 101.41}",yes
